time;V(U_a);
0;0.00054549;
1e-07;0.00054549;
2e-07;0.00054549;
4e-07;0.00054549;
8e-07;0.00054549;
1.6e-06;0.00054549;
3.2e-06;0.00054549;
6.4e-06;0.00054549;
1.28e-05;0.00054549;
2.28e-05;0.00054549;
3.28e-05;0.00054549;
4.28e-05;0.00054549;
5.28e-05;0.00054549;
6.28e-05;0.00054549;
7.28e-05;0.00054549;
8.28e-05;0.00054549;
9.28e-05;0.00054549;
0.0001028;0.00054549;
0.0001128;0.00054549;
0.0001228;0.00054549;
0.0001328;0.00054549;
0.0001428;0.00054549;
0.0001528;0.00054549;
0.0001628;0.00054549;
0.0001728;0.00054549;
0.0001828;0.00054549;
0.0001928;0.00054549;
0.0002028;0.00054549;
0.0002128;0.00054549;
0.0002228;0.00054549;
0.0002328;0.00054549;
0.0002428;0.00054549;
0.0002528;0.00054549;
0.0002628;0.00054549;
0.0002728;0.00054549;
0.0002828;0.00054549;
0.0002928;0.00054549;
0.0003028;0.00054549;
0.0003128;0.00054549;
0.0003228;0.00054549;
0.0003328;0.00054549;
0.0003428;0.00054549;
0.0003528;0.00054549;
0.0003628;0.00054549;
0.0003728;0.00054549;
0.0003828;0.00054549;
0.0003928;0.00054549;
0.0004028;0.00054549;
0.0004128;0.00054549;
0.0004228;0.00054549;
0.0004328;0.00054549;
0.0004428;0.00054549;
0.0004528;0.00054549;
0.0004628;0.00054549;
0.0004728;0.00054549;
0.0004828;0.00054549;
0.0004928;0.00054549;
0.0005028;0.00054549;
0.0005128;0.00054549;
0.0005228;0.00054549;
0.0005328;0.00054549;
0.0005428;0.00054549;
0.0005528;0.00054549;
0.0005628;0.00054549;
0.0005728;0.00054549;
0.0005828;0.00054549;
0.0005928;0.00054549;
0.0006028;0.00054549;
0.0006128;0.00054549;
0.0006228;0.00054549;
0.0006328;0.00054549;
0.0006428;0.00054549;
0.0006528;0.00054549;
0.0006628;0.00054549;
0.0006728;0.00054549;
0.0006828;0.00054549;
0.0006928;0.00054549;
0.0007028;0.00054549;
0.0007128;0.00054549;
0.0007228;0.00054549;
0.0007328;0.00054549;
0.0007428;0.00054549;
0.0007528;0.00054549;
0.0007628;0.00054549;
0.0007728;0.00054549;
0.0007828;0.00054549;
0.0007928;0.00054549;
0.0008028;0.00054549;
0.0008128;0.00054549;
0.0008228;0.00054549;
0.0008328;0.00054549;
0.0008428;0.00054549;
0.0008528;0.00054549;
0.0008628;0.00054549;
0.0008728;0.00054549;
0.0008828;0.00054549;
0.0008928;0.00054549;
0.0009028;0.00054549;
0.0009128;0.00054549;
0.0009228;0.00054549;
0.0009328;0.00054549;
0.0009428;0.00054549;
0.0009528;0.00054549;
0.0009628;0.00054549;
0.0009728;0.00054549;
0.0009828;0.00054549;
0.0009928;0.00054549;
0.0010028;0.00054549;
0.0010128;0.00054549;
0.0010228;0.00054549;
0.0010328;0.00054549;
0.0010428;0.00054549;
0.0010528;0.00054549;
0.0010628;0.00054549;
0.0010728;0.00054549;
0.0010828;0.00054549;
0.0010928;0.00054549;
0.0011028;0.00054549;
0.0011128;0.00054549;
0.0011228;0.00054549;
0.0011328;0.00054549;
0.0011428;0.00054549;
0.0011528;0.00054549;
0.0011628;0.00054549;
0.0011728;0.00054549;
0.0011828;0.00054549;
0.0011928;0.00054549;
0.0012028;0.00054549;
0.0012128;0.00054549;
0.0012228;0.00054549;
0.0012328;0.00054549;
0.0012428;0.00054549;
0.0012528;0.00054549;
0.0012628;0.00054549;
0.0012728;0.00054549;
0.0012828;0.00054549;
0.0012928;0.00054549;
0.0013028;0.00054549;
0.0013128;0.00054549;
0.0013228;0.00054549;
0.0013328;0.00054549;
0.0013428;0.00054549;
0.0013528;0.00054549;
0.0013628;0.00054549;
0.0013728;0.00054549;
0.0013828;0.00054549;
0.0013928;0.00054549;
0.0014028;0.00054549;
0.0014128;0.00054549;
0.0014228;0.00054549;
0.0014328;0.00054549;
0.0014428;0.00054549;
0.0014528;0.00054549;
0.0014628;0.00054549;
0.0014728;0.00054549;
0.0014828;0.00054549;
0.0014928;0.00054549;
0.0015028;0.00054549;
0.0015128;0.00054549;
0.0015228;0.00054549;
0.0015328;0.00054549;
0.0015428;0.00054549;
0.0015528;0.00054549;
0.0015628;0.00054549;
0.0015728;0.00054549;
0.0015828;0.00054549;
0.0015928;0.00054549;
0.0016028;0.00054549;
0.0016128;0.00054549;
0.0016228;0.00054549;
0.0016328;0.00054549;
0.0016428;0.00054549;
0.0016528;0.00054549;
0.0016628;0.00054549;
0.0016728;0.00054549;
0.0016828;0.00054549;
0.0016928;0.00054549;
0.0017028;0.00054549;
0.0017128;0.00054549;
0.0017228;0.00054549;
0.0017328;0.00054549;
0.0017428;0.00054549;
0.0017528;0.00054549;
0.0017628;0.00054549;
0.0017728;0.00054549;
0.0017828;0.00054549;
0.0017928;0.00054549;
0.0018028;0.00054549;
0.0018128;0.00054549;
0.0018228;0.00054549;
0.0018328;0.00054549;
0.0018428;0.00054549;
0.0018528;0.00054549;
0.0018628;0.00054549;
0.0018728;0.00054549;
0.0018828;0.00054549;
0.0018928;0.00054549;
0.0019028;0.00054549;
0.0019128;0.00054549;
0.0019228;0.00054549;
0.0019328;0.00054549;
0.0019428;0.00054549;
0.0019528;0.00054549;
0.0019628;0.00054549;
0.0019728;0.00054549;
0.0019828;0.00054549;
0.0019928;0.00054549;
0.0020028;0.00054549;
0.0020128;0.00054549;
0.0020228;0.00054549;
0.0020328;0.00054549;
0.0020428;0.00054549;
0.0020528;0.00054549;
0.0020628;0.00054549;
0.0020728;0.00054549;
0.0020828;0.00054549;
0.0020928;0.00054549;
0.0021028;0.00054549;
0.0021128;0.00054549;
0.0021228;0.00054549;
0.0021328;0.00054549;
0.0021428;0.00054549;
0.0021528;0.00054549;
0.0021628;0.00054549;
0.0021728;0.00054549;
0.0021828;0.00054549;
0.0021928;0.00054549;
0.0022028;0.00054549;
0.0022128;0.00054549;
0.0022228;0.00054549;
0.0022328;0.00054549;
0.0022428;0.00054549;
0.0022528;0.00054549;
0.0022628;0.00054549;
0.0022728;0.00054549;
0.0022828;0.00054549;
0.0022928;0.00054549;
0.0023028;0.00054549;
0.0023128;0.00054549;
0.0023228;0.00054549;
0.0023328;0.00054549;
0.0023428;0.00054549;
0.0023528;0.00054549;
0.0023628;0.00054549;
0.0023728;0.00054549;
0.0023828;0.00054549;
0.0023928;0.00054549;
0.0024028;0.00054549;
0.0024128;0.00054549;
0.0024228;0.00054549;
0.0024328;0.00054549;
0.0024428;0.00054549;
0.0024528;0.00054549;
0.0024628;0.00054549;
0.0024728;0.00054549;
0.0024828;0.00054549;
0.0024928;0.00054549;
0.0025028;0.00054549;
0.0025128;0.00054549;
0.0025228;0.00054549;
0.0025328;0.00054549;
0.0025428;0.00054549;
0.0025528;0.00054549;
0.0025628;0.00054549;
0.0025728;0.00054549;
0.0025828;0.00054549;
0.0025928;0.00054549;
0.0026028;0.00054549;
0.0026128;0.00054549;
0.0026228;0.00054549;
0.0026328;0.00054549;
0.0026428;0.00054549;
0.0026528;0.00054549;
0.0026628;0.00054549;
0.0026728;0.00054549;
0.0026828;0.00054549;
0.0026928;0.00054549;
0.0027028;0.00054549;
0.0027128;0.00054549;
0.0027228;0.00054549;
0.0027328;0.00054549;
0.0027428;0.00054549;
0.0027528;0.00054549;
0.0027628;0.00054549;
0.0027728;0.00054549;
0.0027828;0.00054549;
0.0027928;0.00054549;
0.0028028;0.00054549;
0.0028128;0.00054549;
0.0028228;0.00054549;
0.0028328;0.00054549;
0.0028428;0.00054549;
0.0028528;0.00054549;
0.0028628;0.00054549;
0.0028728;0.00054549;
0.0028828;0.00054549;
0.0028928;0.00054549;
0.0029028;0.00054549;
0.0029128;0.00054549;
0.0029228;0.00054549;
0.0029328;0.00054549;
0.0029428;0.00054549;
0.0029528;0.00054549;
0.0029628;0.00054549;
0.0029728;0.00054549;
0.0029828;0.00054549;
0.0029928;0.00054549;
0.0030028;0.00054549;
0.0030128;0.00054549;
0.0030228;0.00054549;
0.0030328;0.00054549;
0.0030428;0.00054549;
0.0030528;0.00054549;
0.0030628;0.00054549;
0.0030728;0.00054549;
0.0030828;0.00054549;
0.0030928;0.00054549;
0.0031028;0.00054549;
0.0031128;0.00054549;
0.0031228;0.00054549;
0.0031328;0.00054549;
0.0031428;0.00054549;
0.0031528;0.00054549;
0.0031628;0.00054549;
0.0031728;0.00054549;
0.0031828;0.00054549;
0.0031928;0.00054549;
0.0032028;0.00054549;
0.0032128;0.00054549;
0.0032228;0.00054549;
0.0032328;0.00054549;
0.0032428;0.00054549;
0.0032528;0.00054549;
0.0032628;0.00054549;
0.0032728;0.00054549;
0.0032828;0.00054549;
0.0032928;0.00054549;
0.0033028;0.00054549;
0.0033128;0.00054549;
0.0033228;0.00054549;
0.0033328;0.00054549;
0.0033428;0.00054549;
0.0033528;0.00054549;
0.0033628;0.00054549;
0.0033728;0.00054549;
0.0033828;0.00054549;
0.0033928;0.00054549;
0.0034028;0.00054549;
0.0034128;0.00054549;
0.0034228;0.00054549;
0.0034328;0.00054549;
0.0034428;0.00054549;
0.0034528;0.00054549;
0.0034628;0.00054549;
0.0034728;0.00054549;
0.0034828;0.00054549;
0.0034928;0.00054549;
0.0035028;0.00054549;
0.0035128;0.00054549;
0.0035228;0.00054549;
0.0035328;0.00054549;
0.0035428;0.00054549;
0.0035528;0.00054549;
0.0035628;0.00054549;
0.0035728;0.00054549;
0.0035828;0.00054549;
0.0035928;0.00054549;
0.0036028;0.00054549;
0.0036128;0.00054549;
0.0036228;0.00054549;
0.0036328;0.00054549;
0.0036428;0.00054549;
0.0036528;0.00054549;
0.0036628;0.00054549;
0.0036728;0.00054549;
0.0036828;0.00054549;
0.0036928;0.00054549;
0.0037028;0.00054549;
0.0037128;0.00054549;
0.0037228;0.00054549;
0.0037328;0.00054549;
0.0037428;0.00054549;
0.0037528;0.00054549;
0.0037628;0.00054549;
0.0037728;0.00054549;
0.0037828;0.00054549;
0.0037928;0.00054549;
0.0038028;0.00054549;
0.0038128;0.00054549;
0.0038228;0.00054549;
0.0038328;0.00054549;
0.0038428;0.00054549;
0.0038528;0.00054549;
0.0038628;0.00054549;
0.0038728;0.00054549;
0.0038828;0.00054549;
0.0038928;0.00054549;
0.0039028;0.00054549;
0.0039128;0.00054549;
0.0039228;0.00054549;
0.0039328;0.00054549;
0.0039428;0.00054549;
0.0039528;0.00054549;
0.0039628;0.00054549;
0.0039728;0.00054549;
0.0039828;0.00054549;
0.0039928;0.00054549;
0.0040028;0.00054549;
0.0040128;0.00054549;
0.0040228;0.00054549;
0.0040328;0.00054549;
0.0040428;0.00054549;
0.0040528;0.00054549;
0.0040628;0.00054549;
0.0040728;0.00054549;
0.0040828;0.00054549;
0.0040928;0.00054549;
0.0041028;0.00054549;
0.0041128;0.00054549;
0.0041228;0.00054549;
0.0041328;0.00054549;
0.0041428;0.00054549;
0.0041528;0.00054549;
0.0041628;0.00054549;
0.0041728;0.00054549;
0.0041828;0.00054549;
0.0041928;0.00054549;
0.0042028;0.00054549;
0.0042128;0.00054549;
0.0042228;0.00054549;
0.0042328;0.00054549;
0.0042428;0.00054549;
0.0042528;0.00054549;
0.0042628;0.00054549;
0.0042728;0.00054549;
0.0042828;0.00054549;
0.0042928;0.00054549;
0.0043028;0.00054549;
0.0043128;0.00054549;
0.0043228;0.00054549;
0.0043328;0.00054549;
0.0043428;0.00054549;
0.0043528;0.00054549;
0.0043628;0.00054549;
0.0043728;0.00054549;
0.0043828;0.00054549;
0.0043928;0.00054549;
0.0044028;0.00054549;
0.0044128;0.00054549;
0.0044228;0.00054549;
0.0044328;0.00054549;
0.0044428;0.00054549;
0.0044528;0.00054549;
0.0044628;0.00054549;
0.0044728;0.00054549;
0.0044828;0.00054549;
0.0044928;0.00054549;
0.0045028;0.00054549;
0.0045128;0.00054549;
0.0045228;0.00054549;
0.0045328;0.00054549;
0.0045428;0.00054549;
0.0045528;0.00054549;
0.0045628;0.00054549;
0.0045728;0.00054549;
0.0045828;0.00054549;
0.0045928;0.00054549;
0.0046028;0.00054549;
0.0046128;0.00054549;
0.0046228;0.00054549;
0.0046328;0.00054549;
0.0046428;0.00054549;
0.0046528;0.00054549;
0.0046628;0.00054549;
0.0046728;0.00054549;
0.0046828;0.00054549;
0.0046928;0.00054549;
0.0047028;0.00054549;
0.0047128;0.00054549;
0.0047228;0.00054549;
0.0047328;0.00054549;
0.0047428;0.00054549;
0.0047528;0.00054549;
0.0047628;0.00054549;
0.0047728;0.00054549;
0.0047828;0.00054549;
0.0047928;0.00054549;
0.0048028;0.00054549;
0.0048128;0.00054549;
0.0048228;0.00054549;
0.0048328;0.00054549;
0.0048428;0.00054549;
0.0048528;0.00054549;
0.0048628;0.00054549;
0.0048728;0.00054549;
0.0048828;0.00054549;
0.0048928;0.00054549;
0.0049028;0.00054549;
0.0049128;0.00054549;
0.0049228;0.00054549;
0.0049328;0.00054549;
0.0049428;0.00054549;
0.0049528;0.00054549;
0.0049628;0.00054549;
0.0049728;0.00054549;
0.0049828;0.00054549;
