#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2BA2
#Date Time: 2024-02-13 19:38:40.200
#Start: 0.995 Hz
#Stop: 1.06e+06 Hz
#Steps: 11
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.56241 V
#Offset: -0.000204024 V
#Relative: no
#Channel: Channel 2
#Range: 5.52841 V
#Offset: -9.79359e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
0.9950000000000009,-0.00780352300557066,9.311661445755933,92.9589129524972
3.986312662849687,-0.007613404626583933,0.381553915632084,101.6083178000667
15.97054135275955,-0.007521672220271386,-9.602600653710935,129.3797509803604
63.98348867042214,-0.007851536243608999,-13.17806094660996,163.061622734905
256.3398905529679,-0.008237915226780112,-13.54011527648415,175.6487856820575
1026.98588111035,-0.007833946736944604,-13.56318870837369,178.9079134507249
4114.459118028167,-0.00406962303767558,-13.55762241962474,179.6767983175578
16483.94018389249,0.01486667953756319,-13.54553601374514,179.490907533918
66040.34119468089,0.05951152011361827,-13.5284591962808,178.0195925929949
264580.3501138392,0.04799117044410371,-13.36095520656616,171.8760036554729
1060000,-0.08939100802184943,-10.56084150693191,141.4467142110115
