#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2AFF
#Date Time: 2024-01-16 17:51:22.722
#Start: 1 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 60.8538 V
#Offset: 0.00231203 V
#Relative: no
#Channel: Channel 2
#Range: 60.9751 V
#Offset: -0.00115114 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,-5.049697574887587,-84.72012557995613,-131.4345187369333
1.096478196143188,-4.555047049080586,-82.6434192683689,96.38384578442587
1.202264434617416,-4.098055491654195,-88.06807804063659,94.25891607819767
1.31825673855641,-3.674122412847831,-74.10255827762805,92.33244751096171
1.445439770745928,-3.280943719191263,-78.14537384439754,-170.9838846147189
1.584893192461117,-2.921066092948347,-81.21748100719806,-89.52949678773211
1.73780082874938,-2.593195525726466,-94.95476806918704,-6.546364562594434
1.905460717963248,-2.293373157827498,-77.88021175168664,169.7051602886528
2.089296130854045,-2.022900484799766,-90.21986068834462,125.2616819993793
2.290867652767779,-1.780179564482741,-82.23028670914245,-147.7509001785663
2.511886431509582,-1.562372485594194,-84.60247890593051,150.4382541662163
2.754228703338174,-1.36791939035169,-85.63508689384486,-155.1882145977516
3.019951720402019,-1.194948474922346,-91.27082377371119,-152.4467050300986
3.311311214825914,-1.041828932310008,-79.15403776825491,-153.1328171448999
3.630780547701025,-0.9064452220893104,-102.3550526400774,-125.2530759286596
3.981071705534978,-0.7858156071041978,-85.71118796411534,151.1955866220878
4.365158322401665,-0.6825701291926635,-92.45386296343149,154.7366848990499
4.78630092322639,-0.5907689770869298,-98.55811098323913,-158.1565820442977
5.248074602497734,-0.5103202720476919,-104.9247327154341,-169.6370259710203
5.754399373371578,-0.4402924207086633,-108.1812408788816,-90.55125087302102
6.309573444801943,-0.3789617193291281,-93.190278437085,125.8762382988183
6.918309709189377,-0.3255306927982272,-79.4883146501595,144.0207295947494
7.585775750291852,-0.2795713959538424,-95.54508583320984,-49.62323262737435
8.317637711026727,-0.2397956212282671,-88.66089826986715,72.3730071860851
9.120108393559114,-0.2050110278094638,-82.01918756157139,177.7646292591413
10.00000000000002,-0.1746547497364147,-88.99940922332976,-149.087247260636
10.96478196143187,-0.1485002981068867,-87.23710172382731,143.7575970202437
12.02264434617413,-0.1253520597686789,-101.5076026916388,161.2801157458245
13.1825673855641,-0.1061840551732292,-97.61934088570327,0.04969922128485393
14.45439770745931,-0.08967331319146897,-90.48903366982881,164.9632510865516
15.84893192461114,-0.07507655930588196,-87.56219878522919,156.1964167197343
17.3780082874938,-0.06202540245570724,-98.75433494910504,99.93239041341221
19.05460717963252,-0.05142365288588392,-95.90599481158925,-154.1365031472202
20.89296130854041,-0.04245494873599481,-94.76487771145946,112.9900982660336
22.90867652767779,-0.03403963744060574,-94.28946092039688,-137.8726773951937
25.11886431509587,-0.02692909318767946,-84.68487471864394,101.6591970289052
27.54228703338169,-0.02132765166586669,-96.58465156759448,168.8772791591781
30.19951720402025,-0.01565284147225206,-93.59979300921432,178.6442126303064
33.11311214825921,-0.0117898239532993,-97.92919238773084,86.89774843136038
36.30780547701018,-0.008020001908487416,-92.85626536919796,97.03178714037448
39.81071705534978,-0.004930312260741034,-94.45756238308859,178.1849543890385
43.65158322401665,-0.001733914108334229,-99.24831868982585,-35.03365104093041
47.8630092322639,0.0002715499649902296,-89.98797390597372,94.8720892543503
